,Address,Contact,Email,Name,TA_Link
0,"CCP Complex Atang Dela Rama Sofitel Philippine Plaza Manila, Manila, Luzon 1300 Philippines",+63 2 551 5555,,Spiral,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1927329-Reviews-Spiral-Manila_Metro_Manila_Luzon.html
1,"Manila Hotel, One Rizal Park Manila, Philippines, Manila, Luzon Philippines",527-0011,,Cafe Ilang-Ilang,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2190952-Reviews-Cafe_Ilang_Ilang-Manila_Metro_Manila_Luzon.html
2,"518 Quintin Paredes Street Binondo, Manila, Luzon Philippines",+63 2 242 9765,info@engbeetin.com,Eng Bee Tin,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2035243-Reviews-Eng_Bee_Tin-Manila_Metro_Manila_Luzon.html
3,"1032-34 Belen Street Paco The Oasis Paco Park Hotel, Manila, Luzon 1124 Philippines",+63 2 521 2371,,My Kitchen at the Oasis,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2436018-Reviews-My_Kitchen_at_the_Oasis-Manila_Metro_Manila_Luzon.html
4,"Biak Na Bato Corner Quezon Boulevard Ave., Quezon City, Luzon 1114 Philippines",,,Cafe Inggo 1587,https://www.tripadvisor.com.my//Restaurant_Review-g298574-d13124974-Reviews-Cafe_Inggo_1587-Quezon_City_Metro_Manila_Luzon.html
5,"Muralla corner Victoria Streets Intramuros, Manila, Luzon 1002 Philippines",+63 2 318 5000,tbi-inquiry@thebayleaf.com.ph,Sky Deck at The Bayleaf Hotel,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d3812197-Reviews-Sky_Deck_at_The_Bayleaf_Hotel-Manila_Metro_Manila_Luzon.html
6,"1588 Pedro Gil Street Cor. M.H. Del Pilar, New World Hotels & Resorts, Manila, Luzon 1004 Philippines",+63 2 252 6888,dining.manilabay@newworldhotels.com,Market Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1063454-Reviews-Market_Cafe-Manila_Metro_Manila_Luzon.html
7,"252 Gil Puyat Ave Mezzanine, West Of Ayala Building, Makati, Luzon Philippines",8857537,,Green Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d9867251-Reviews-Green_Bar-Makati_Metro_Manila_Luzon.html
8,"J Vargas Avenue Ground Floor, Mega Fashion Hall, SM Megamall, Manila, Luzon 1550 Philippines",+63 2 470 8836,,Tim Ho Wan,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d6721518-Reviews-Tim_Ho_Wan-Manila_Metro_Manila_Luzon.html
9,"1588 Pedro Gil Street corner MH Del Pilar, Manila, Luzon 1004 Philippines",+63 2 252 6888,manila.casino@hyatt.com,Li Li,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2196304-Reviews-Li_Li-Manila_Metro_Manila_Luzon.html
10,"Plaza San Luis Complex Gen. Luna Street Intramuros, Manila, Luzon 1002 Philippines",+63 2 527 4086,barbarasfoods@yahoo.com,Barbara's Heritage Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1147643-Reviews-Barbara_s_Heritage_Restaurant-Manila_Metro_Manila_Luzon.html
11,"5057 P. Burgos Cor. General Luna Brgy. Poblacion 2/f, Makati, Luzon 1210 Philippines",+63 946 770 0000,crew@cosmic.com.ph,Cosmic,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d15271960-Reviews-Cosmic-Makati_Metro_Manila_Luzon.html
12,"Corner Gil Puyat Avenue and Roxas Blvd Manila, Pasay, Luzon Philippines",+63 8320658,singingcooksandwaiters@gmail.com,The Singing Cooks & Waiters,https://www.tripadvisor.com.my//Restaurant_Review-g298452-d3773626-Reviews-The_Singing_Cooks_Waiters-Pasay_Metro_Manila_Luzon.html
13,"1790 M. Adriatico Street Malate, Manila, Luzon Philippines",6325093007,,Cafe Adriatico,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d809722-Reviews-Cafe_Adriatico-Manila_Metro_Manila_Luzon.html
14,"1000 Katigbak Parkway Rizal Park, Manila, Luzon 1300 Philippines",632 710-0060,,Harbor View Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1147830-Reviews-Harbor_View_Restaurant-Manila_Metro_Manila_Luzon.html
