,Address,Contact,Email,Name,TA_Link
0,"Jl. Jendral Sudirman Kav. 18-20 Le Méridien, Jakarta 10220 Indonesia",+62 21 2513131,jktmd.dining@lemeridien.com,La Brasserie Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d1917326-Reviews-La_Brasserie_Restaurant-Jakarta_Java.html
1,"Jalan H.R. Rasuna Said Kav X-0 - Kuningan Gran Melia Jakarta, Jakarta 12950 Indonesia",+62 21 5268080,info@granmeliajakarta.com,Cafe Gran Via,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d4233423-Reviews-Cafe_Gran_Via-Jakarta_Java.html
2,"Jl. Jend Sudirman Kav 52 - 53 The Ritz-Carlton Jakarta, Pacific Place Level 6, Jakarta 12190 Indonesia",+62 21 25501993,theresia.nugraheni@ritzcarlton.com,PASOLA Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d4163613-Reviews-PASOLA_Restaurant-Jakarta_Java.html
3,"Jl. Jendral Sudirman 18 - 20 Lobby Level Hotel Le Meridien, Jakarta 10220 Indonesia",+62 21 2513131,jktmd.dining@lemeridien.com,Al Nafoura Lebanese Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d862663-Reviews-Al_Nafoura_Lebanese_Restaurant-Jakarta_Java.html
4,"Jl. MH. Thamrin no. 1 Hotel Indonesia Kempinski Jakarta, Jakarta Indonesia",+62 21 23583898,signatures.jakarta@kempinski.com,Signatures Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d1838942-Reviews-Signatures_Restaurant-Jakarta_Java.html
5,"Jl. Letjen S. Parman Kav. 28 Pullman Jakarta Central Park, Jakarta 11470 Indonesia",+62 21 29200088,h7536-fb6@accor.com,Collage All Day Dining,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d3404325-Reviews-Collage_All_Day_Dining-Jakarta_Java.html
6,"Jln. M.H. Thamrin no. 1 Hotel Indonesia Kempinski, Jakarta 10310 Indonesia",+62 21 23583896,oku.jakarta@kempinski.com,OKU,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10154182-Reviews-OKU-Jakarta_Java.html
7,"Jl. H Benyamin Sueb Kav. B6 Superblook Mega Kemayoran Grand Mercure Kemayoran, Jakarta 10630 Indonesia",+62 856-4716-8654,h9896-pr@accor.com,Plumeria Lounge,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12958499-Reviews-Plumeria_Lounge-Jakarta_Java.html
8,"Jl. Kemang Raya no. 5 Kemang Square - Ground Floor, Jakarta 12730 Indonesia",+62 895-2823-5494,gm@hootersjakarta.com,Hooters Jakarta,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12391023-Reviews-Hooters_Jakarta-Jakarta_Java.html
9,"Jl Pangeran Antasari Main Entrance Executive Paradise, Cilandak, Jakarta 12430 Indonesia",+62 21 22706042,kaltureep@gmail.com,KALTURE Progressive Cafe & Resto,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d13480851-Reviews-KALTURE_Progressive_Cafe_Resto-Jakarta_Java.html
10,"Jl. H Benyamin Sueb Kav. B6 Grand Mercure Kemayoran, Jakarta 10610 Indonesia",+62 856-4716-8654,h9896-pr@accor.com,Catappa Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12958497-Reviews-Catappa_Restaurant-Jakarta_Java.html
11,"Jalan M.H. Thamrin No. 59 Pullman Jakarta Indonesia Hotel, 28th Floor Wisma Nusantara, Jakarta 10350 Indonesia",+62 21 2301122,kahyangan@pullmanjakartaindonesia.com,Kahyangan Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d1384743-Reviews-Kahyangan_Restaurant-Jakarta_Java.html
12,"Jl. Darmawangsa Raya no. 6, Jakarta 12160 Indonesia",+62 21 29044167,reservations@platarandharmawangsa.com,Plataran Dharmawangsa,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7379491-Reviews-Plataran_Dharmawangsa-Jakarta_Java.html
13,"Jl. H.O.S. Cokroaminoto no. 42 Menteng, Jakarta 10310 Indonesia",+62 21 29627771,reservation@plataranmenteng.com,Plataran Menteng,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12179632-Reviews-Plataran_Menteng-Jakarta_Java.html
14,"Jl. Darmawangsa VI & IX Darmawangsa Square City Walk, Jakarta 12160 Indonesia",+62 21 27513688,reservation@terasdharmawangsa.com,Teras Dharmawangsa,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12314850-Reviews-Teras_Dharmawangsa-Jakarta_Java.html
15,"Jl. Gunawarman no. 42, Jakarta 12110 Indonesia",+62 21 29054084,,Namaaz Dining,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d5111444-Reviews-Namaaz_Dining-Jakarta_Java.html
16,"Jl. Pantai Sanur VI Taman Impian Jaya Ancol, Jakarta 14430 Indonesia",+62 21 6455472,sosmed.grup@bandar-djakarta.com,Bandar Djakarta Ancol,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d782968-Reviews-Bandar_Djakarta_Ancol-Jakarta_Java.html
17,"Jln. Danau Sunter Selatan Apartemen Green Lake Sunter Ruko TB-S/R, Jakarta 14350 Indonesia",+62 21 26690133,pizzeriacavalese@gmail.com,Pizzeria Cavalese,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d8758351-Reviews-Pizzeria_Cavalese-Jakarta_Java.html
18,"Jl. MH Thamrin no. 59 Pullman Hotels and Resorts, Jakarta 10350 Indonesia",+62 21 31921111,H8491@accor.com,Sana Sini Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d5995585-Reviews-Sana_Sini_Restaurant-Jakarta_Java.html
19,"Kav 3-5  Jln. Prof.Dr Satrio Ciputra World 1, Jakarta 12940 Indonesia",+62 21 29880888,jakarta@raffles.com,Arts Cafe by Raffles,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7958021-Reviews-Arts_Cafe_by_Raffles-Jakarta_Java.html
20,"Jl. Asia Afrika no. 8 Fairmont Hotel, Jakarta 10270 Indonesia",+62 800 0441141,,Spectrum,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7812411-Reviews-Spectrum-Jakarta_Java.html
21,"Jl. H.R. Rasuna Said Kav. C-22 Gama Tower, Jakarta 12940 Indonesia",+62 21 27887768,jakarta.henshin@westin.com,Henshin,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12211766-Reviews-Henshin-Jakarta_Java.html
22,"Jl. H.R. Rasuna Said Kav. C-22 A Gama Tower Level 51 The Westin Jakarta, Jakarta 12940 Indonesia",+62 877-7500-2100,seasonaltaste.jakarta@westin.com,Seasonal Tastes,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10915852-Reviews-Seasonal_Tastes-Jakarta_Java.html
23,"Jl. M.H. Thamrin no. 1 Grand Indonesia, East Mall, Floor 2, Jakarta 10110 Indonesia",+62 21 23583871,paulaner.jakarta@kempinski.com,Paulaner Brauhaus,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d1838508-Reviews-Paulaner_Brauhaus-Jakarta_Java.html
24,"Jl. M.H. Thamrin 81 Mandarin Oriental Hotel, Jakarta 10310 Indonesia",+62 21 29938825,mojkt-lifeng@mohg.com,Li Feng,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10596199-Reviews-Li_Feng-Jakarta_Java.html
25,"Jln. Wijaya XIII no. 45 Panglima Polim, Jakarta 12160 Indonesia",+62 21 72413623,reservation@patiojakarta.com,Patio Venue & Dining,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d8058833-Reviews-Patio_Venue_Dining-Jakarta_Java.html
26,"Jl. Sultan Iskandar Muda Sheraton Grand Jakarta Gandaria City Hotel, Jakarta 12240 Indonesia",+62 21 80630888,anigre.jakartagandariacity@sheraton.com,Anigre,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10475534-Reviews-Anigre-Jakarta_Java.html
