,Address,Contact,Email,Name,TA_Link
0,"Jl. Pluit Sakti Raya no.117 Muara Karang, Jakarta 14450 Indonesia",+62 811-160-226,,Ombe Kofie,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d8353034-Reviews-Ombe_Kofie-Jakarta_Java.html
1,"Jl. M.H. Thamrin no. 1 Grand Indonesia 8F, CGVBlitz, Jakarta 10110 Indonesia",+62 21 29923929,touslesjours-id@cj.co.id,Tous Les Jours Grand Indonesia,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d8846106-Reviews-Tous_Les_Jours_Grand_Indonesia-Jakarta_Java.html
2,"Jl. Suryo No. 25 Senopati, Jakarta 12180 Indonesia",+62 21 72780012,getcrematology@gmail.com,Crematology X Senopati,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d6509863-Reviews-Crematology_X_Senopati-Jakarta_Java.html
3,"Kav. 3-5 Jl. Prof. Dr. Satrio Lotte Shopping Avenue, Jakarta Indonesia",+62 21 29889166,,Blacklisted,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7892270-Reviews-Blacklisted-Jakarta_Java.html
4,"Jln. Melawai VI no. 25 Kawasan Terpadu Blok M Square, Jakarta 12160 Indonesia",,,"Kedai Filosofi Kopi, Melawai",https://www.tripadvisor.com.my//Restaurant_Review-g294229-d8858549-Reviews-Kedai_Filosofi_Kopi_Melawai-Jakarta_Java.html
5,"Jln. Pintu Besar Utara no. 11 Kota Tua District, Jakarta 11230 Indonesia",+62 21 6904188,historiajakarta@gmail.com,Historia Food & Bar,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10415351-Reviews-Historia_Food_Bar-Jakarta_Java.html
6,"Jln. M.H. Thamrin No. 1 Grand Indonesia 2 Kino Bookstore, Jakarta 10110 Indonesia",+62 21 23580152,,Starbucks - Grand Indonesia,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d6662690-Reviews-Starbucks_Grand_Indonesia-Jakarta_Java.html
7,"Jln. Rawamangun Muka Barat Selatan VI, Jakarta 13220 Indonesia",+62 622 14892640,locale@ymail.com,Kedai Locale,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d6354289-Reviews-Kedai_Locale-Jakarta_Java.html
8,"Jln. Teuku Cikditiro No. 52, Jakarta 10310 Indonesia",+62 622 13106370,,Anomali Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7744033-Reviews-Anomali_Coffee-Jakarta_Java.html
9,"Taman Ratu Indah blok AA2 no 33, Jakarta 11520 Indonesia",+62 21 29520310,info@koultouracoffee.com,Koultoura Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d6508034-Reviews-Koultoura_Coffee-Jakarta_Java.html
10,"Jl. M.H. Thamrin no. 81 Mandarin Oriental, Jakarta 10310 Indonesia",+62 21 29938820,mojkt-cakeshop@mohg.com,The Mandarin Oriental Cake Shop,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7707248-Reviews-The_Mandarin_Oriental_Cake_Shop-Jakarta_Java.html
11,"Jl. MH Thamrin no. 1 Grand Indonesia Mall, East Mall, Lantai LG, Jakarta 10310 Indonesia",,,Koi Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d12275581-Reviews-Koi_Cafe-Jakarta_Java.html
12,"Jl. Jend. Sudirman Kav. 52-53 Pacific Place, 4th Fl, Jakarta 12190 Indonesia",+62 21 57973375,,Liberica Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d3869870-Reviews-Liberica_Coffee-Jakarta_Java.html
13,"Jl. Boulevard Kelapa Gading Blok M Kelapa Gading Mall 5 Basement floor Unit G06-G08, Jakarta 12420 Indonesia",+62 21 45853758,,Pancious Kelapa Gading,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d4421492-Reviews-Pancious_Kelapa_Gading-Jakarta_Java.html
14,"KH Agus Salim street #16, Jakarta 10340 Indonesia",+62 21 31926726,,Sabang 16,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d2318189-Reviews-Sabang_16-Jakarta_Java.html
15,"Jl. Cikini Raya no. 27, Jakarta 10330 Indonesia",+62 31 44691,duanyonyarestaurant@gmail.com,Dua Nyonya Restaurant,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d5979028-Reviews-Dua_Nyonya_Restaurant-Jakarta_Java.html
16,"Jl. Senopati 52, Jakarta 12110 Indonesia",+62 2715162,,Caribou Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d10373424-Reviews-Caribou_Coffee-Jakarta_Java.html
17,"Jln. Kemang Selatan 1 Hero Kemang Complex, Jakarta 12730 Indonesia",+62 21 7192364,,Antipodean,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d1746507-Reviews-Antipodean-Jakarta_Java.html
18,"Jl. Senopati no. 19, Jakarta 12110 Indonesia",+62 21 52920102,,Anomali Coffee Senopati,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d7899676-Reviews-Anomali_Coffee_Senopati-Jakarta_Java.html
19,"Jln. Jendral Sudirman FX Sudiman Place, Jakarta 10270 Indonesia",,,Starbucks - Fx Sudirman Place,https://www.tripadvisor.com.my//Restaurant_Review-g294229-d5553421-Reviews-Starbucks_Fx_Sudirman_Place-Jakarta_Java.html
