,Address,Contact,Email,Name,TA_Link
0,"Biak Na Bato Corner Quezon Boulevard Ave., Quezon City, Luzon 1114 Philippines",+63 915 807 1017,,Cafe Inggo 1587,https://www.tripadvisor.com.my//Restaurant_Review-g298574-d13124974-Reviews-Cafe_Inggo_1587-Quezon_City_Metro_Manila_Luzon.html
1,"252 Gil Puyat Ave Mezzanine, West Of Ayala Building, Makati, Luzon Philippines",8857537,,Green Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d9867251-Reviews-Green_Bar-Makati_Metro_Manila_Luzon.html
2,"1790 M. Adriatico Street Malate, Manila, Luzon Philippines",6325093007,,Cafe Adriatico,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d809722-Reviews-Cafe_Adriatico-Manila_Metro_Manila_Luzon.html
3,"Felix Huertas 249 2F SM City San Lazaro, Manila, Luzon 1003 Philippines",+63 2 554 6134,cs@iagc.ph,Boulangerie22 - SM San Lazaro,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d10434973-Reviews-Boulangerie22_SM_San_Lazaro-Manila_Metro_Manila_Luzon.html
4,"Serendra at Fort Bonifacio, Manila, Luzon Philippines",,,Mary Grace,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1718947-Reviews-Mary_Grace-Manila_Metro_Manila_Luzon.html
5,"2F Robinsons Place, Manila, Luzon Philippines",+63 2 354 8936,,Mary Grace,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d3823096-Reviews-Mary_Grace-Manila_Metro_Manila_Luzon.html
6,"1906 Taft Avenue, Manila, Luzon Philippines",708-3484,kanlungan_sa_erma@hotmail.com,KSEM Coffee Shop,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2523432-Reviews-KSEM_Coffee_Shop-Manila_Metro_Manila_Luzon.html
7,"The Glass House, 1771 M Adriatico Street, Malate, Manila, Luzon Philippines",+63 2 353 6388,cbtladr@coffeebean.com.ph,The Coffee Bean & Tea Leaf Malate,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d4271003-Reviews-The_Coffee_Bean_Tea_Leaf_Malate-Manila_Metro_Manila_Luzon.html
8,"1771 Adriatico St Ermita, Manila, Luzon 1004 Philippines",,,Starbucks,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1755554-Reviews-Starbucks-Manila_Metro_Manila_Luzon.html
9,"Ground Floor, Bayview Park Hotel 118 Roxas Boulevard, Manila, Luzon Philippines",,,Starbucks,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1754172-Reviews-Starbucks-Manila_Metro_Manila_Luzon.html
10,"125 L. P. Leviste Street V Corporate Center, Salcdeo Village, Makati, Luzon 1209 Philippines",+63 2 808 7072,,Wildflour Cafe + Bakery,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d6921851-Reviews-Wildflour_Cafe_Bakery-Makati_Metro_Manila_Luzon.html
11,"Puerta Isabel II Muralla Street, Manila, Luzon Philippines",,,Starbucks,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1754175-Reviews-Starbucks-Manila_Metro_Manila_Luzon.html
12,"150 Jupiter Street Bel-Air Village, Makati, Luzon 1209 Philippines",+63 2 897 0295,cornertreecafe@gmail.com,Corner Tree Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d1757924-Reviews-Corner_Tree_Cafe-Makati_Metro_Manila_Luzon.html
13,"1197 Jorge Bocobo corner Arquiza Street, Ermita, Manila, Luzon Philippines",5363993,,Hizon's Cakes & Pastries,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d4303085-Reviews-Hizon_s_Cakes_Pastries-Manila_Metro_Manila_Luzon.html
14,"Newport City 1 Newport Boulevard Ground Floor, Hilton Manila, Pasay, Luzon 1300 Philippines",+63 2 239 7788,,Madison Lounge & Bar,https://www.tripadvisor.com.my//Restaurant_Review-g298452-d15581315-Reviews-Madison_Lounge_Bar-Pasay_Metro_Manila_Luzon.html
15,"175 M.Paterno St San Juan City San Juan del Monte, Manila, Luzon 1500 Philippines",+63 2 725 5089,reservation@cafeysabel.com,Cafe Ysabel,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1195109-Reviews-Cafe_Ysabel-Manila_Metro_Manila_Luzon.html
16,"Reyes _ve, Manila, Luzon Philippines",+63 927 724 3133,,Noriter,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2248624-Reviews-Noriter-Manila_Metro_Manila_Luzon.html
17,"2F 628 Ongpin St, Binondo, Manila, Luzon 1006 Philippines",6322419999,,The Great Buddha Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d13530205-Reviews-The_Great_Buddha_Cafe-Manila_Metro_Manila_Luzon.html
18,"South Road Drive T.M. Kalaw Ext, Rizal Park Hotel, Manila, Luzon 1000 Philippines",+63 2 804 8700,caferizal.reservation@rizalparkhotelmanila.com,Cafe Rizal,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d15132821-Reviews-Cafe_Rizal-Manila_Metro_Manila_Luzon.html
19,"Ground Floor, Robinsons Place Mall, Manila, Luzon Philippines",,,Costa Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d8821399-Reviews-Costa_Coffee-Manila_Metro_Manila_Luzon.html
20,"Ground Floor, Adriatico Square Corner M. Adraitico and General Malvar Street, Manila, Luzon Philippines",,,Gloria Jean's Coffees,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2049771-Reviews-Gloria_Jean_s_Coffees-Manila_Metro_Manila_Luzon.html
21,"P Ocampo Sr St Coconut Palace, Manila, Luzon Philippines",+63 2 833 7595,,Figaro Coffee,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1147711-Reviews-Figaro_Coffee-Manila_Metro_Manila_Luzon.html
22,"Heart of Chinatown Ongpin Binondo, Manila, Luzon Philippines",+63 2 288 8888 ext. 230,,Cafe Mezzanine,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d3836076-Reviews-Cafe_Mezzanine-Manila_Metro_Manila_Luzon.html
23,"Pedro Gil St Level 1, Robinsons Place Manila, Manila, Luzon 1004 Philippines",+63 2 567 2029,,UCC Cafe Terrace,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d2086135-Reviews-UCC_Cafe_Terrace-Manila_Metro_Manila_Luzon.html
24,"Manila, Luzon Philippines",,,Starbucks,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1063078-Reviews-Starbucks-Manila_Metro_Manila_Luzon.html
25,"134 Legaspi Street Corner Calle Palanca Street, Manila, Luzon 1002 Philippines",+63 916 355 4129,thecuratordrinks@gmail.com,The Curator,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d8452867-Reviews-The_Curator-Manila_Metro_Manila_Luzon.html
26,"Level 1, Adriatico Wing, Robinsons Place Ermita, Manila, Luzon Philippines",,,Cafe France,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d10259545-Reviews-Cafe_France-Manila_Metro_Manila_Luzon.html
27,"Makati Avenue Corner Kalayaan Avenue 32 Flr. City Garden Grand Hotel, Makati, Luzon 1212 Philippines",+63 2 554 3429,reservations@citygardengrandhotel.com,Firefly Roofdeck,https://www.tripadvisor.com.my//Restaurant_Review-g298450-d8658411-Reviews-Firefly_Roofdeck-Makati_Metro_Manila_Luzon.html
28,"G/Floor Robinsons Place. Midtown Entrance, Pedro Gil, Ermita, Manila, Luzon 1000 Philippines",+63 2 577 0704,,Cafe Breton,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d5611666-Reviews-Cafe_Breton-Manila_Metro_Manila_Luzon.html
29,"Taft Avenue Unit 3 2464 Archer's Nook Center, Manila, Luzon 1004 Philippines",+63 905 224 8003,twins1118@hanmail.net,Cafe Travel,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d9825994-Reviews-Cafe_Travel-Manila_Metro_Manila_Luzon.html
30,"Units 136b - 138 Upper Ground Floor SM San Lazaro, Manila, Luzon 0905 Philippines",,,Starbucks,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d1754176-Reviews-Starbucks-Manila_Metro_Manila_Luzon.html
31,"Ground Floor, Padre Faura Wing, Robinsons Place, Ermita,, Manila, Luzon Philippines",,,Go Nuts Donuts Ermita,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d4782399-Reviews-Go_Nuts_Donuts_Ermita-Manila_Metro_Manila_Luzon.html
32,"1125 Dos Castillas St Sampaloc, Manila, Luzon Philippines",5210056,,iChill Theater Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d6707547-Reviews-IChill_Theater_Cafe-Manila_Metro_Manila_Luzon.html
33,"1408 Masangkay Street, Manila, Luzon 1006 Philippines",+63 956 954 2804,,Redmug Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d18188790-Reviews-Redmug_Cafe-Manila_Metro_Manila_Luzon.html
34,"Shangri-La Plaza Ground Flr, Mandaluyong, Luzon Philippines",,,The Coffee Bean & Tea Leaf,https://www.tripadvisor.com.my//Restaurant_Review-g298451-d7594206-Reviews-The_Coffee_Bean_Tea_Leaf-Mandaluyong_Metro_Manila_Luzon.html
35,"O'Campo Street Basement, Legaspi Towers 300, Manila, Luzon 1004 Philippines",+63 2 239 2327,sevscafe@gmail.com,Sev's Cafe,https://www.tripadvisor.com.my//Restaurant_Review-g298573-d8670424-Reviews-Sev_s_Cafe-Manila_Metro_Manila_Luzon.html
